,stimulus,modtheta,flipped,model,lower,median,upper
170,0,180.0,same,bqp,25.820885182,23.323382682,21.0611423504
171,0,180.0,same,exp,2707.81735207,2496.80695135,2307.90836325
172,0,180.0,same,expA,2806.34795766,2447.57296743,2157.5026126
173,0,180.0,same,expB,2817.74483723,2530.96469556,2291.57751506
174,0,180.0,same,gs,722.0,722.0,722.0
175,0,180.0,same,hc,8.0581079115,7.88905237454,7.71727221989
176,0,180.0,same,oc,40.2320814842,39.3799618835,38.5046957038
177,0,180.0,same,th,20.1415523865,17.6915607773,15.8615779637
178,1,0.0,flipped,bq,22.8171775092,21.2454631394,19.7636865626
179,1,0.0,flipped,bqp,22.5177956935,21.0734458458,19.8664616452
180,1,0.0,flipped,exp,1949.03277761,1802.06368494,1671.88512508
181,1,0.0,flipped,expA,1902.04299921,1680.27222415,1509.58411637
182,1,0.0,flipped,expB,2193.93601925,1932.31463505,1732.16369825
183,1,0.0,flipped,gs,722.0,722.0,722.0
184,1,0.0,flipped,hc,16.0835678795,15.6243220194,15.1630678441
185,1,0.0,flipped,oc,1.0,1.0,1.0
186,1,0.0,flipped,th,2.0,2.0,2.0
187,1,0.0,same,bq,23.5867663779,21.9412948861,20.4163495394
188,1,0.0,same,bqp,24.720873295,23.1209775091,21.8050162186
189,1,0.0,same,exp,1483.19823279,1385.10488718,1294.1313534
190,1,0.0,same,expA,1594.73338105,1427.14618908,1300.65569495
191,1,0.0,same,expB,1458.11981527,1340.02498066,1241.5611893
192,1,0.0,same,gs,722.0,722.0,722.0
193,1,0.0,same,hc,16.3027057854,15.8388213202,15.3489892387
194,1,0.0,same,oc,1.0,1.0,1.0
195,1,0.0,same,th,1.0,1.0,1.0
196,1,20.0,flipped,bq,24.2165638434,22.5056281419,21.0787034856
197,1,20.0,flipped,bqp,24.3594757289,22.6621521638,21.0430413362
198,1,20.0,flipped,exp,2389.72885514,2156.37484938,1962.75272184
199,1,20.0,flipped,expA,2832.76180678,2493.99604397,2226.59585972
200,1,20.0,flipped,expB,2173.03198859,1878.17442166,1638.06089662
201,1,20.0,flipped,gs,722.0,722.0,722.0
202,1,20.0,flipped,hc,19.193135117,18.0318542105,16.9752324787
203,1,20.0,flipped,oc,4.66512458382,4.44256399408,4.23173803526
204,1,20.0,flipped,th,7.82990418884,6.62150918753,5.65478108101
205,1,20.0,same,bq,23.5169667119,22.0061977233,20.476495675
206,1,20.0,same,bqp,22.9494317624,21.4640837415,20.1827134104
207,1,20.0,same,exp,2190.69263963,2022.74948366,1862.72518239
208,1,20.0,same,expA,2305.54425053,2059.24686421,1862.73066973
209,1,20.0,same,expB,2254.69539905,1980.5704239,1765.01099104
210,1,20.0,same,gs,722.0,722.0,722.0
211,1,20.0,same,hc,18.7150191851,17.674361477,16.7915357969
212,1,20.0,same,oc,4.66096992565,4.4614404079,4.24885116628
213,1,20.0,same,th,10.481129773,8.93578027558,7.73249594738
214,1,40.0,flipped,bq,24.4849302724,22.9251017514,21.5532424108
215,1,40.0,flipped,bqp,22.2292842526,20.7894402643,19.4538340417
216,1,40.0,flipped,exp,3114.08752666,2739.60417253,2370.18519392
217,1,40.0,flipped,expA,3526.16920538,3026.54316698,2661.92846068
218,1,40.0,flipped,expB,2997.56374296,2478.6560103,1988.46720496
219,1,40.0,flipped,gs,722.0,722.0,722.0
220,1,40.0,flipped,hc,19.6690198106,18.8029023491,18.0265814991
221,1,40.0,flipped,oc,9.07804285636,8.67967260707,8.26864477174
222,1,40.0,flipped,th,16.7753837223,13.3141871378,10.7923187441
223,1,40.0,same,bq,25.1498971447,23.1829918687,21.6830397162
224,1,40.0,same,bqp,23.9847613367,22.3341846825,20.8753740549
225,1,40.0,same,exp,2657.98589593,2340.8749273,2034.46157776
226,1,40.0,same,expA,2681.55193421,2256.8105255,1833.38462996
227,1,40.0,same,expB,2971.3462056,2455.77003973,2106.04129488
228,1,40.0,same,gs,722.0,722.0,722.0
229,1,40.0,same,hc,19.7630776189,18.8133598528,17.9461915258
230,1,40.0,same,oc,9.00034689774,8.62498133121,8.22746206563
231,1,40.0,same,th,18.1409198023,14.977311506,12.5408384629
232,1,60.0,flipped,bq,25.5902968948,23.9632917926,22.3524566936
233,1,60.0,flipped,bqp,26.7524033259,24.9179623661,23.1952564451
234,1,60.0,flipped,exp,2795.94000897,2451.90281736,2120.14792366
235,1,60.0,flipped,expA,2829.92295506,2406.48073687,2048.76662171
236,1,60.0,flipped,expB,3025.67944245,2526.50743958,2026.06503042
237,1,60.0,flipped,gs,722.0,722.0,722.0
238,1,60.0,flipped,hc,22.3148374554,21.6634569659,21.0651317421
239,1,60.0,flipped,oc,13.3975171107,12.9222178407,12.5276847098
240,1,60.0,flipped,th,39.6667808283,35.8452667741,32.3644155317
241,1,60.0,same,bq,26.2839000627,24.5609375576,23.0871629191
242,1,60.0,same,bqp,26.1003294844,24.3132819681,22.8063216764
243,1,60.0,same,exp,2677.78539105,2436.69781887,2240.24322119
244,1,60.0,same,expA,2888.16343886,2504.33914844,2190.35694157
245,1,60.0,same,expB,2722.0105633,2407.0298204,2136.94163714
246,1,60.0,same,gs,722.0,722.0,722.0
247,1,60.0,same,hc,22.7170425895,22.0983434164,21.4963715974
248,1,60.0,same,oc,13.2890811076,12.7959495928,12.3644216857
249,1,60.0,same,th,35.2658470825,31.8536295277,29.1046432223
250,1,80.0,flipped,bq,22.9927201995,21.4730634481,20.1493655841
251,1,80.0,flipped,bqp,24.4934721005,22.8856831244,21.3007419918
252,1,80.0,flipped,exp,2865.00272254,2574.06161043,2290.46136253
253,1,80.0,flipped,expA,2993.60080852,2498.74485964,2083.85514483
254,1,80.0,flipped,expB,3084.17773244,2659.69010895,2366.63125965
255,1,80.0,flipped,gs,722.0,722.0,722.0
256,1,80.0,flipped,hc,19.6576421232,18.7259302677,17.7044031411
257,1,80.0,flipped,oc,17.8198188088,17.2155232567,16.6663407802
258,1,80.0,flipped,th,29.8793246986,23.3351362764,18.3268404741
259,1,80.0,same,bq,22.9945618754,21.5586222074,20.3173054711
260,1,80.0,same,bqp,21.7304120442,20.2871322365,18.9753681355
261,1,80.0,same,exp,2831.29186541,2468.9665349,2152.70540242
