,stimulus,modtheta,flipped,model,lower,median,upper
169,0,180.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
170,0,180.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
171,0,180.0,same,bq,93.7394151215,97.8316048393,99.5821187553
172,0,180.0,same,bqp,95.4221103399,98.8210438312,99.8918898291
173,0,180.0,same,exp,70.2612197474,78.9029153571,86.0885096901
174,0,180.0,same,expA,50.2109693865,63.9062344008,76.2200573434
175,0,180.0,same,expB,84.8467436972,93.6967067436,98.2813350929
176,0,180.0,same,gs,33.3178245599,90.4474181962,99.978309153
177,0,180.0,same,hc,97.5254729985,99.7733570771,99.9995101927
178,0,180.0,same,oc,97.5254729985,99.7733570771,99.9995101927
179,0,180.0,same,th,97.5254729985,99.7733570771,99.9995101927
180,1,0.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
181,1,0.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
182,1,0.0,flipped,exp,85.473251581,91.8581804515,96.1450597511
183,1,0.0,flipped,expA,74.4674971844,85.7567318344,93.5128298849
184,1,0.0,flipped,expB,91.0319648943,97.6501132248,99.7833505825
185,1,0.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
186,1,0.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
187,1,0.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
188,1,0.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
189,1,0.0,same,bq,97.5254729985,99.7733570771,99.9995101927
190,1,0.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
191,1,0.0,same,exp,95.4221103399,98.8210438312,99.8918898291
192,1,0.0,same,expA,91.0319648943,97.6501132248,99.7833505825
193,1,0.0,same,expB,95.1241540556,99.5483563846,99.9990228337
194,1,0.0,same,gs,33.3178245599,90.4474181962,99.978309153
195,1,0.0,same,hc,97.5254729985,99.7733570771,99.9995101927
196,1,0.0,same,oc,97.5254729985,99.7733570771,99.9995101927
