model,trial,lower,median,upper
exp,97,2019.82287138,2187.09301889,2356.25850146
exp,98,2155.68257563,2308.14733654,2477.909975
exp,99,2061.24622434,2213.76220121,2386.17735179
exp,100,2071.38933097,2228.9386074,2398.855398
exp,101,2085.00373208,2231.95648548,2374.6006957
exp,102,2016.33119073,2155.49112534,2303.24440732
exp,103,2023.3413839,2171.67168013,2328.4409423
exp,104,1981.9071774,2122.68854009,2268.53143699
exp,105,1964.03565158,2097.85833199,2234.98389862
exp,106,2007.6633178,2188.48728786,2383.41312594
exp,107,1957.50207075,2109.71465997,2280.46244743
exp,108,2130.36849416,2281.27300274,2464.24782301
exp,109,2087.11324472,2222.00089151,2384.72809213
exp,110,2144.23580041,2317.59160387,2494.48867375
exp,111,2068.80296808,2240.12448088,2408.52518368
exp,112,2192.912746,2358.44802917,2543.27189562
exp,113,2071.47322707,2217.32482869,2389.4743555
exp,114,2021.02226312,2177.750922,2353.3875337
exp,115,2017.60315632,2170.00301436,2353.71866385
exp,116,2069.52887998,2220.29522206,2397.2181067
exp,117,2004.02493172,2151.04580342,2319.11933727
exp,118,2067.18638851,2216.82521224,2376.71910787
exp,119,2073.89338663,2225.00394532,2397.30191004
exp,120,2114.96115115,2266.86792024,2453.63767518
exp,121,2123.94371293,2299.04623458,2461.95675868
exp,122,2042.70651209,2188.21492512,2347.57722928
exp,123,2013.02042772,2178.84715705,2361.45145567
exp,124,2197.06552585,2360.73043373,2534.91986318
exp,125,2048.6497827,2208.94455313,2384.15297824
exp,126,2236.39952143,2401.06763461,2579.32678863
exp,127,2145.24811145,2307.16909977,2478.34117956
exp,128,2090.21100588,2273.51007498,2460.83743293
exp,129,2040.587142,2198.61837989,2364.68825598
exp,130,2097.03325314,2253.24592933,2420.02527839
exp,131,2036.98657683,2208.81531137,2394.07368794
exp,132,2130.53294925,2291.23601535,2475.49239622
exp,133,2125.58837644,2306.4143993,2510.30527777
exp,134,1992.19147969,2149.65572876,2325.09530339
exp,135,2111.02106378,2259.42455127,2433.96063673
