,stimulus,theta,flipped,model,lower,median,upper,modtheta
187,0,200.0,same,bqp,25.2013368174,22.286413731,19.8676623589,160.0
188,0,200.0,same,exp,3044.32443544,2472.97296285,1986.94835997,160.0
189,0,200.0,same,expA,3383.98534307,2386.46033418,1598.66385614,160.0
190,0,200.0,same,expB,3178.99836004,2622.08442715,2238.41938141,160.0
191,0,200.0,same,gs,722.0,722.0,722.0,160.0
192,0,200.0,same,hc,16.3988968399,15.6413553932,14.9833587266,160.0
193,0,200.0,same,oc,35.4462296895,34.2942188898,33.3217031098,160.0
194,0,200.0,same,th,23.3827135364,19.2503402967,16.3205895765,160.0
195,0,220.0,flipped,bq,22.7797222472,20.1412311432,17.8509896056,140.0
196,0,220.0,flipped,bqp,27.281763164,24.0666046389,21.0660854447,140.0
197,0,220.0,flipped,exp,3235.23929705,2777.90689067,2409.3611123,140.0
198,0,220.0,flipped,expA,3769.61005557,2992.89771898,2448.75639246,140.0
199,0,220.0,flipped,expB,3230.6783928,2599.52242877,2153.13733963,140.0
200,0,220.0,flipped,gs,722.0,722.0,722.0,140.0
201,0,220.0,flipped,hc,23.3442326214,22.2442032699,21.1824080135,140.0
202,0,220.0,flipped,oc,31.2549370948,29.9436441137,28.3719381515,140.0
203,0,220.0,flipped,th,18.2501949602,14.6275342119,11.9956410295,140.0
204,0,220.0,same,bq,26.9431091505,23.1587788155,20.3137062894,140.0
205,0,220.0,same,bqp,23.7533804947,20.8558818687,18.5301425892,140.0
206,0,220.0,same,exp,3087.62384199,2685.01116453,2332.15221982,140.0
207,0,220.0,same,expA,3277.75575743,2611.58263866,2074.81569102,140.0
208,0,220.0,same,expB,3291.54787406,2737.1429897,2328.45466841,140.0
209,0,220.0,same,gs,722.0,722.0,722.0,140.0
210,0,220.0,same,hc,19.6807994562,18.9077302901,18.0847618205,140.0
211,0,220.0,same,oc,31.0051359456,29.9447399054,28.8329286186,140.0
212,0,220.0,same,th,38.1979737896,33.5505834451,29.8276247218,140.0
213,0,240.0,flipped,bq,24.6604500666,21.5385621486,18.9791301961,120.0
214,0,240.0,flipped,bqp,24.8660895775,21.7979894861,19.4204735853,120.0
215,0,240.0,flipped,exp,2600.3396064,2291.89809201,2045.20921229,120.0
216,0,240.0,flipped,expA,2657.06215919,2248.43644906,1903.2675615,120.0
217,0,240.0,flipped,expB,2792.60259482,2339.71377853,1957.27916402,120.0
218,0,240.0,flipped,gs,722.0,722.0,722.0,120.0
219,0,240.0,flipped,hc,30.5117937705,29.4696030943,28.5179884863,120.0
220,0,240.0,flipped,oc,27.6423037564,26.5752883655,25.5380909027,120.0
221,0,240.0,flipped,th,14.2037332606,11.4432660485,9.42408532252,120.0
222,0,240.0,same,bq,21.5346558539,19.5579610663,17.7127025577,120.0
223,0,240.0,same,bqp,21.3935245732,18.7616270906,16.7029897473,120.0
224,0,240.0,same,exp,2363.05592351,2066.73782642,1830.14609398,120.0
225,0,240.0,same,expA,2548.48553216,2030.54740493,1635.43945847,120.0
226,0,240.0,same,expB,2413.92193912,2111.20917668,1858.49627576,120.0
227,0,240.0,same,gs,722.0,722.0,722.0,120.0
228,0,240.0,same,hc,21.227858349,20.3378826511,19.5063796965,120.0
229,0,240.0,same,oc,27.1440061205,26.2566280764,25.334130907,120.0
230,0,240.0,same,th,41.1017501251,35.7153610745,31.6380331313,120.0
231,0,260.0,flipped,bq,23.1458054783,20.3678729681,17.9739401053,100.0
232,0,260.0,flipped,bqp,27.0938447887,24.0518771221,21.5612202651,100.0
233,0,260.0,flipped,exp,2649.39760412,1687.79375741,1007.72414781,100.0
234,0,260.0,flipped,expA,2990.86102528,1291.53016355,610.528643807,100.0
235,0,260.0,flipped,expB,2712.63051337,2307.28363372,1982.11653736,100.0
236,0,260.0,flipped,gs,722.0,722.0,722.0,100.0
237,0,260.0,flipped,oc,22.3362488563,21.4623044185,20.670011677,100.0
238,0,260.0,flipped,th,37.2640894041,32.2105790268,28.6146182828,100.0
239,0,260.0,same,bq,23.3010738737,20.8845350725,18.8710060328,100.0
240,0,260.0,same,bqp,24.7798326339,21.9997401196,19.1880500226,100.0
241,0,260.0,same,exp,2358.68367725,2108.56433357,1895.0982613,100.0
242,0,260.0,same,expA,2738.81472908,2304.02430642,1959.70203919,100.0
243,0,260.0,same,expB,2279.52550583,1975.70897053,1729.5880967,100.0
244,0,260.0,same,gs,722.0,722.0,722.0,100.0
245,0,260.0,same,hc,28.0,26.4150943396,25.0,100.0
246,0,260.0,same,oc,22.9542905354,21.8914380509,20.817751158,100.0
247,0,260.0,same,th,38.8714306254,33.2563507812,29.072294074,100.0
248,0,280.0,flipped,bq,21.3873360999,19.371343138,17.7323798279,80.0
249,0,280.0,flipped,bqp,24.8341427504,21.9883156682,19.5617828562,80.0
250,0,280.0,flipped,exp,2565.52588746,2313.00420995,2097.84349006,80.0
251,0,280.0,flipped,expA,2845.22570955,2389.14345961,2066.60075778,80.0
252,0,280.0,flipped,expB,2623.10563703,2230.02444219,1942.2969639,80.0
253,0,280.0,flipped,gs,722.0,722.0,722.0,80.0
254,0,280.0,flipped,hc,26.0,26.0,26.0,80.0
255,0,280.0,flipped,oc,18.6603218092,17.6845102613,16.899318686,80.0
256,0,280.0,flipped,th,35.1295029343,30.7001098216,27.243236478,80.0
257,0,280.0,same,bq,26.6623549793,23.5719458664,20.7242164797,80.0
258,0,280.0,same,bqp,19.5090979792,16.9830624338,14.7851959033,80.0
259,0,280.0,same,exp,2367.25093894,2080.09513517,1852.30009148,80.0
260,0,280.0,same,expA,2801.25570972,2302.57061765,1953.10976047,80.0
261,0,280.0,same,expB,2264.55122642,1911.1448642,1654.27045431,80.0
262,0,280.0,same,gs,722.0,722.0,722.0,80.0
263,0,280.0,same,oc,17.9941371822,17.1953625443,16.3909486523,80.0
264,0,280.0,same,th,34.0301479616,29.6538572329,26.5098164916,80.0
265,0,300.0,flipped,bq,20.0478545605,18.4454957882,16.9838809309,60.0
266,0,300.0,flipped,bqp,25.4229355121,22.7101013249,20.2078386445,60.0
267,0,300.0,flipped,exp,2359.31079857,2092.20857183,1874.19844522,60.0
268,0,300.0,flipped,expA,2689.97650728,2332.44342103,2054.07312157,60.0
269,0,300.0,flipped,expB,2231.97150536,1890.71102413,1630.33254878,60.0
270,0,300.0,flipped,gs,722.0,722.0,722.0,60.0
271,0,300.0,flipped,hc,21.9386807061,20.7244014391,19.4695187898,60.0
272,0,300.0,flipped,oc,13.7418602116,13.0522667877,12.4692177072,60.0
273,0,300.0,flipped,th,35.3929048316,30.6546331467,27.3576697787,60.0
274,0,300.0,same,bq,18.8224417924,17.0426336921,15.4984128886,60.0
275,0,300.0,same,bqp,20.601624407,18.7114330977,16.901092218,60.0
276,0,300.0,same,exp,2315.80762645,2048.46678149,1808.33832984,60.0
277,0,300.0,same,expA,2460.74438761,2111.13854611,1819.87686222,60.0
278,0,300.0,same,expB,2368.73180312,1978.34058299,1651.21162616,60.0
279,0,300.0,same,gs,722.0,722.0,722.0,60.0
280,0,300.0,same,hc,32.4542961326,30.6477447809,28.7832569553,60.0
281,0,300.0,same,oc,13.8876682491,13.1551744729,12.381810252,60.0
282,0,300.0,same,th,31.7962003993,27.7745159721,24.7342415855,60.0
283,0,320.0,flipped,bq,19.3043335735,17.7337474605,16.2102301213,40.0
284,0,320.0,flipped,bqp,21.5686114636,19.71130211,17.9657472172,40.0
285,0,320.0,flipped,exp,2264.6220972,2027.49725506,1810.91558463,40.0
286,0,320.0,flipped,expA,2689.82153801,2300.12564656,1986.36051475,40.0
287,0,320.0,flipped,expB,2163.82118436,1826.50503868,1569.96498702,40.0
288,0,320.0,flipped,gs,722.0,722.0,722.0,40.0
289,0,320.0,flipped,hc,23.1190713077,22.0758600892,20.9588182977,40.0
290,0,320.0,flipped,oc,8.8499516557,8.30880457524,7.79864857185,40.0
291,0,320.0,flipped,th,8.68470326981,7.08169501454,5.90761467378,40.0
292,0,320.0,same,bq,19.6292328126,17.6677006938,16.036350864,40.0
293,0,320.0,same,bqp,18.2708555179,16.4181561919,14.8246341478,40.0
294,0,320.0,same,exp,2165.78065694,1847.9661994,1625.58701362,40.0
295,0,320.0,same,expA,2324.85364907,1975.68014086,1655.38434363,40.0
296,0,320.0,same,expB,2167.06139874,1743.4467619,1425.97644872,40.0
297,0,320.0,same,gs,722.0,722.0,722.0,40.0
298,0,320.0,same,hc,26.4670596854,25.4566448069,24.5171339789,40.0
299,0,320.0,same,oc,9.20006252856,8.66074078703,8.1913743823,40.0
300,0,320.0,same,th,9.91023706908,7.99556029861,6.72747863557,40.0
301,0,340.0,flipped,bq,17.8688821858,16.4901478068,15.286950127,20.0
302,0,340.0,flipped,bqp,23.6548686338,21.3468855005,19.0341762195,20.0
