,modtheta,flipped,model,lower,median,upper
109,120.0,flipped,bqp,90.2176348264,91.4930790166,92.6623734834
110,120.0,flipped,exp,86.2314799777,87.71914812,89.110116174
111,120.0,flipped,expA,82.9372165118,85.2291617962,87.3402657936
112,120.0,flipped,expB,88.2411777526,90.1865857395,91.9265756033
113,120.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
114,120.0,flipped,hc,30.7684553448,32.8028670442,34.881285883
115,120.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
116,120.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
117,120.0,same,bq,92.2487173703,93.3927607132,94.4258072654
118,120.0,same,bqp,94.7439793689,95.6923734287,96.5239207145
119,120.0,same,exp,80.7788631711,82.4858262264,84.1096239214
120,120.0,same,expA,78.5855326386,81.0896281682,83.434753515
121,120.0,same,expB,81.507391999,83.8725711428,86.0643874242
122,120.0,same,gs,93.9502024786,99.4364679715,99.9987800693
123,120.0,same,hc,30.3755326741,32.4029337247,34.4753652919
124,120.0,same,oc,99.8744973661,99.9886286576,99.9999754513
125,120.0,same,th,99.8744973661,99.9886286576,99.9999754513
126,140.0,flipped,bq,90.9634680589,92.1929618414,93.3145192987
127,140.0,flipped,bqp,87.0463726541,88.4935804796,89.8423018188
128,140.0,flipped,exp,87.0281967895,88.4802239207,89.8332547476
129,140.0,flipped,expA,84.8713273525,87.0487830001,89.0362592669
130,140.0,flipped,expB,87.9297018951,89.9059271352,91.6765232057
131,140.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
132,140.0,flipped,hc,42.5300127451,44.700883424,46.885314671
133,140.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
134,140.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
135,140.0,same,bq,91.1236393748,92.34293672,93.4539150068
136,140.0,same,bqp,93.381713474,94.4425843191,95.3897840848
137,140.0,same,exp,78.0769000461,79.8745799433,81.5955475021
138,140.0,same,expA,75.2810983807,77.9244582376,80.4245964324
139,140.0,same,expB,79.3419839908,81.8166519446,84.1279822375
140,140.0,same,gs,93.9502024786,99.4364679715,99.9987800693
141,140.0,same,hc,42.4306283975,44.6009000924,46.7849882144
142,140.0,same,oc,99.8744973661,99.9886286576,99.9999754513
143,140.0,same,th,99.8744973661,99.9886286576,99.9999754513
144,160.0,flipped,bq,90.3772386234,91.6430539149,92.8023365746
145,160.0,flipped,bqp,88.1522275566,89.5434050661,90.8334130792
146,160.0,flipped,exp,86.5602738848,88.0316893178,89.4057016099
147,160.0,flipped,expA,84.1556338043,86.3742365509,88.4066868125
148,160.0,flipped,expB,87.6894200278,89.6764332233,91.4604264514
149,160.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
150,160.0,flipped,hc,43.3254075997,45.5007500764,47.687606248
151,160.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
152,160.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
153,160.0,same,bq,91.3374052532,92.5429032171,93.6395718807
154,160.0,same,bqp,93.6528621958,94.6925422382,95.6179151981
155,160.0,same,exp,74.3612259314,76.2600117846,78.0915001735
156,160.0,same,expA,71.083338176,73.8659052436,76.5263058879
157,160.0,same,expB,76.0346107151,78.6477389128,81.1140842301
158,160.0,same,gs,93.9502024786,99.4364679715,99.9987800693
159,160.0,same,hc,42.5300127451,44.700883424,46.885314671
160,160.0,same,oc,99.8744973661,99.9886286576,99.9999754513
161,160.0,same,th,99.8744973661,99.9886286576,99.9999754513
162,180.0,flipped,bq,90.4304655411,91.6930455469,92.8489652921
163,180.0,flipped,bqp,87.5724784561,88.9934969596,90.314751262
164,180.0,flipped,exp,85.5489691595,87.0679544753,88.4919078473
165,180.0,flipped,expA,83.3791029986,85.6450412499,87.728188982
166,180.0,flipped,expB,86.398583855,88.4756347407,90.3557965553
167,180.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
168,180.0,flipped,hc,42.8779280418,45.0508250844,47.2363871883
169,180.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
170,180.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
171,180.0,same,bq,90.6967973202,91.9430037,93.0819117345
172,180.0,same,bqp,93.4901027354,94.5425674914,95.4811067257
173,180.0,same,exp,71.9844824889,73.9417754552,75.8375573951
174,180.0,same,expA,67.6957802021,70.575438939,73.3494553317
175,180.0,same,expB,74.6313407102,77.300093632,79.8286857398
176,180.0,same,gs,93.9502024786,99.4364679715,99.9987800693
177,180.0,same,hc,42.8282191878,45.0008334186,47.1862406403
178,180.0,same,oc,99.8744973661,99.9886286576,99.9999754513
179,180.0,same,th,99.8744973661,99.9886286576,99.9999754513
